Company,Valuation (B),Date Joined,Country,CityÂ ,First Category Industry,Second Category Industry,Third Category Industry,First Category Investor,Second Category Investor,Third Category Investor,Fourth Category Investor
Zapier,$4.00,2021-01-14,US,Sunnyvale,Internet software, services,NULL,Sequoia Capital, Bessemer Venture Partners, Threshold Ventures,NULL
Clubhouse,$4.00,2021-01-24,US,San Francisco,Mobile, telecommunications,NULL,Andreessen Horowitz, TQ Ventures,NULL,NULL
BrowserStack,$4.00,2021-06-16,Ireland,Dublin,Internet software, services,NULL,Accel, Insight Partners, Bond Capital,NULL
Olive,$4.00,2020-01-12,US,Columbus,Health,NULL,NULL,Drive Capital, General Catalyst, Ascension Ventures,NULL
Rubrik,$4.00,2017-04-28,US,Palo Alto,Data management, analytics,NULL,Greylock Partners, Lightspeed Venture Partners, Khosla Ventures,NULL
Melio,$4.00,2021-01-25,US,New York,Fintech,NULL,NULL,Accel, Aleph, American Express Ventures,NULL
Vuori,$4.00,2021-10-13,US,Carlsbad,E-commerce, direct-to-consumer,NULL,SoftBank Group, Norwest Venture Partners,NULL,NULL
ClickUp,$4.00,2020-12-15,US,San Diego,Internet software, services,NULL,Georgian Partners, Craft Ventures,NULL,NULL
Cerebras Systems,$4.00,2018-11-14,US,Los Altos,Hardware,NULL,NULL,Benchmark, Foundation Capital, Sequoia Capital,NULL
Farmers Business Network,$4.00,2020-03-08,US,San Carlos,Other,NULL,NULL,Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,NULL
Branch,$4.00,2018-10-09,US,Redwood City,Mobile, telecommunications,NULL,New Enterprise Associates, Pear, Cowboy Ventures,NULL
Aurora Solar,$4.00,2021-05-24,US,San Francisco,Internet software, services,NULL,Fifth Wall Ventures, Energize Ventures," 	ICONIQ Capital",NULL
Webflow,$4.00,2021-01-13,US,San Francisco,Internet software, services,NULL,Accel, Silversmith Capital Partners, capitalG,NULL
Yuga Labs,$4.00,2022-03-22,US,Miami,Internet software, services,NULL,Andreessen Horowitz, Thrive Capital, Sound Ventures,NULL
Digit Insurance,$4.00,2021-01-15,India,Bengaluru,Fintech,NULL,NULL,Fairfax Financial Holdings, A91 Partners, TVS Capital,NULL
Abnormal Security,$4.00,2022-10-05,US,San Francisco,Cybersecurity,NULL,NULL,Greylock Partners, Insight Partners,Menlo Ventures,NULL
Medlinker,$3.92,2018-07-31,China,Chengdu,Health,NULL,NULL,China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China,NULL
Intarcia Therapeutics,$3.80,2014-01-04,US,Boston,Health,NULL,NULL,New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital,NULL
StockX,$3.80,2019-06-26,US,Detroit,E-commerce, direct-to-consumer,NULL,Google Ventures, Battery Ventures, DST Global,NULL
MessageBird,$3.80,2020-08-10,Netherlands,Amsterdam,Mobile, telecommunications,NULL,Y Combinator, Atomico, Accel,NULL
Convoy,$3.80,2018-09-21,US,Seattle,Supply chain, logistics, delivery,Greylock Partners, capitalG, Y Combinator,NULL
Articulate,$3.75,2021-01-07,US,New York,Edtech,NULL,NULL,Blackstone, ICONIQ Growth, General Atlantic,NULL
Dutchie,$3.75,2021-03-16,US,Bend,E-commerce, direct-to-consumer,NULL,Casa Verde Capital, Gron Ventures, Thrity Five Ventures,NULL
Cohesity,$3.70,2018-11-06,US,San Jose,Data management, analytics,NULL,SoftBank Group, Sequoia Capital, Wing Venture Capital,NULL
VAST Data,$3.70,2020-04-16,US,New York,Data management, analytics,NULL,Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital,NULL
GOAT,$3.70,2020-09-23,US,Culver City,E-commerce, direct-to-consumer,NULL,Upfront Ventures, Webb Investment Network, D1 Capital Partners,NULL
Noom,$3.70,2021-05-24,US,New York,Health,NULL,NULL,Qualcomm Ventures, Samsung Ventures, Silver Lake,NULL
Redwood Materials,$3.70,2021-07-28,US,Carson City,Other,NULL,NULL,Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners,NULL
Papaya Global,$3.70,2021-04-03,US,New York,Internet software, services,NULL,Bessemer Venture Partners, Insight Partners, New Era Ventures,NULL
Abogen,$3.70,2021-11-29,China,Suzhou,Health,NULL,NULL,Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners,NULL
Harness,$3.70,2021-01-14,US,San Francisco,Artificial intelligence,NULL,NULL,Menlo Ventures, Alkeon Capital Management, Citi Ventures,NULL
Whatnot,$3.70,2021-09-16,US,Marina del Rey,E-commerce, direct-to-consumer,NULL,Y Combinator, Andreessen Horowitz, Wonder Ventures,NULL
Autograph,$3.66,2022-01-20,US,Santa Monica,Internet software, services,NULL,01 Advisors,Kleiner Perkins Caufield and Byers,Andreessen Horowitz,NULL
Relativity,$3.60,2021-03-18,US,Chicago,Internet software, services,NULL,Silver Lake, ICONIQ Capital,NULL,NULL
Whoop,$3.60,2020-10-28,US,Boston,E-commerce, direct-to-consumer,NULL,NextView Ventures, Promus Ventures, Two Sigma Ventures,NULL
Applied Intuition,$3.60,2020-10-22,US,Sunnyvale,Auto, transportation,NULL,Andreessen Horowitz, Lux Capital, General Catalyst,NULL
Course Hero,$3.60,2020-12-02,US,Redwood City,Edtech,NULL,NULL,NewView Capital, Maveron, Ridge Ventures,NULL
SpotOn,$3.60,2021-05-26,US,San Francisco,Fintech,NULL,NULL,Dragoneer Investment Group, DST Global, Franklin Templeton,NULL
Otto Bock HealthCare,$3.52,2017-06-24,Germany,Duderstadt,Health,NULL,NULL,EQT Partners,NULL,NULL,NULL
Indigo Ag,$3.50,2017-09-26,US,Boston,Artificial intelligence,NULL,NULL,Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.,NULL
HyalRoute,$3.50,2020-05-26,Singapore,Mobile & telecommunications,Kuang-Chi,NULL,NULL,NULL,NULL,NULL,NULL
Rec Room,$3.50,2021-03-23,US,Seattle,Internet software, services,NULL,First Round Capital, Sequoia Capital, Index Ventures,NULL
Commure,$3.50,2021-09-16,US,San Francisco,Internet software, services,NULL,General Catalyst, HCA Healthcare,NULL,NULL
Mirakl,$3.50,2020-09-22,France,Paris,E-commerce, direct-to-consumer,NULL,Elaia Partners, 83North, Felix Capital,NULL
Tekion,$3.50,2020-10-21,US,San Ramon,Internet software, services,NULL,Airbus Ventures, Index Ventures, Advent International,NULL
Celsius Network,$3.50,2021-12-10,US,Hoboken,Fintech,NULL,NULL,WestCap Group, Caisse de depot et placement du Quebec,NULL,NULL
GoStudent,$3.50,2021-06-22,Austria,Vienna,Edtech,NULL,NULL,DN Capital, Left Lane Capital, Coatue Management,NULL
Highspot,$3.50,2021-02-22,US,Seattle,Internet software, services,NULL,Madrona Venture Group, Shasta Ventures, Salesforce Ventures,NULL
Handshake,$3.50,2021-12-05,US,San Francisco,Internet software, services,NULL,Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,NULL
ChargeBee Technologies,$3.50,2021-04-20,US,San Francisco,Fintech,NULL,NULL,Insight Partners, Tiger Global Management, Accel,NULL
Flock Safety,$3.50,2021-07-13,US,Atlanta,Hardware,NULL,NULL,Matrix Partners, Initialized Capital, Tiger Global Management,NULL
Helion Energy,$3.50,2021-05-11,US,Redmond,Other,NULL,NULL,Mithril Capital Management, Y Combinator, Capricorn Investment Group,NULL
Acronis,$3.50,2019-09-18,Switzerland,Schaffhausen,Cybersecurity,NULL,NULL,Goldman Sachs, VebVentures, Insight Partners,NULL
Unacademy,$3.44,2020-02-09,India,Bengaluru,Edtech,NULL,NULL,Blume Ventures, Nexus Venture Partners, Sequoia Capital India,NULL
MoonPay,$3.40,2021-11-22,US,Miami,Fintech,NULL,NULL,New Enterprise Associates, Coatue Management, Tiger Global Management,NULL
Upstox,$3.40,2021-11-29,India,Mumbai,Fintech,NULL,NULL,Tiger Global Management, Kalaari Capital,NULL,NULL
Youxia Motors,$3.35,2018-02-04,China,Shanghai,Auto, transportation,NULL,China Environmental Protection Industry, China Fortune Ocean,NULL,NULL
OwnBackup,$3.35,2021-01-28,US,Englewood Cliffs,Data management, analytics,NULL,Insight Partners, Salesforce Ventures, Vertex Ventures,NULL
Starburst,$3.35,2021-06-01,US,Boston,Data management, analytics,NULL,Index Ventures, Coatue Management, Andreessen Horowitz,NULL
Starling Bank,$3.34,2021-08-03,UK,London,Fintech,NULL,NULL,JTC Group, Qatar Investment Authority, Fidelity Investment,NULL
ECARX,$3.31,2020-10-26,China,Wuhan,Auto, transportation,NULL,Geely, SIG Asia Investments, China State Capital Venture Capital Fund,NULL
Sila Nanotechnologies,$3.30,2019-04-16,US,Alameda,Other,NULL,NULL,Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,NULL
Scopely,$3.30,2019-10-29,US,Culver City,Mobile, telecommunications,NULL,Greycroft, Sands Capital, Revolution Growth,NULL
Komodo Health,$3.30,2020-05-22,US,San Francisco,Health,NULL,NULL,Andreessen Horowitz, IA Ventures, Felicis Ventures,NULL
Kurly,$3.30,2021-09-07,South Korea,Seoul,Supply chain, logistics, delivery,Sequoia Capital China, DST Global, DST Global,NULL
Cars24,$3.30,2020-11-24,India,Gurgaon,E-commerce, direct-to-consumer,NULL,Moore Strategic Ventures, DST Global, Sequoia Capital India,NULL
BlockDaemon,$3.25,2021-09-21,US,Los Angeles,Fintech,NULL,NULL,BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,NULL
Dadi Cinema,$3.24,2016-11-05,China,Shenzhen,Other,NULL,NULL,Alibaba Pictures Group,NULL,NULL,NULL
Aiven,$3.21,2021-10-18,Finland,Helsinki,Internet software, services,NULL,Institutional Venture Partners, Atomico, Earlybird Venture Capital,NULL
Thumbtack,$3.20,2015-09-29,US,San Francisco,E-commerce, direct-to-consumer,NULL,Tiger Global, Sequoia Capital, Google Capital,NULL
Cedar,$3.20,2021-09-03,US,New York,Fintech,NULL,NULL,Thrive Capital, Founders Fund, Cocnord Health Partners,NULL
Eruditus Executive Education,$3.20,2021-12-08,India,Mumbai,Edtech,NULL,NULL,Sequoia Capital India, Softbank, Bertelsmann India Investments,NULL
Blockstream,$3.20,2021-08-24,Canada,Vancouver,Fintech,NULL,NULL,AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,NULL
Innovaccer,$3.20,2021-02-19,US,San Francisco,Health,NULL,NULL,M12, WestBridge Capital, Lightspeed Venture Partners,NULL
Ironclad,$3.20,2022-01-18,US,Sacramento,Internet software, services,NULL,Accel, Sequoia Capital, Y Combinator,NULL
Skims,$3.20,2021-09-04,US,Los Angeles,E-commerce, direct-to-consumer,NULL,Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,NULL
Eikon Therapeutics,$3.20,2022-06-01,US,Hayward,Health,NULL,NULL,The Column Group, Foresite Capital, Foresite Capital,NULL
Retool,$3.20,2021-12-22,US,San Francisco,Internet software, services,NULL,Sequoia Capital,NULL,NULL,NULL
PsiQuantum,$3.15,2021-07-27,US,Palo Alto,Hardware,NULL,NULL,Playground Global, M12, BlackRock,NULL
Udaan,$3.10,2018-04-09,India,Bengaluru,Supply chain, logistics, delivery,DST Global, Lightspeed Venture Partners, Microsoft ScaleUp,NULL
HighRadius,$3.10,2020-07-01,US,Houston,Fintech,NULL,NULL,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,NULL
Nuvemshop,$3.10,2021-08-17,Brazil,Sao Paulo,E-commerce, direct-to-consumer,NULL,Kaszek Ventures, Qualcomm Ventures, Accel,NULL
Yixia,$3.00,2015-11-24,China,Beijing,Mobile, telecommunications,NULL,Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
Traveloka,$3.00,2017-01-01,Indonesia,Jakarta,Travel,NULL,NULL,Global Founders Capital, East Ventures, Expedia Inc.,NULL
SouChe Holdings,$3.00,2017-01-11,China,Hangzhou,E-commerce, direct-to-consumer,NULL,Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,NULL
BGL Group,$3.00,2017-11-24,UK,Peterborough,Fintech,NULL,NULL,CPP Investment Board,NULL,NULL,NULL
Circle,$3.00,2018-05-15,US,Boston,Fintech,NULL,NULL,General Catalyst, Digital Currency Group, Accel,NULL
Zuoyebang,$3.00,2018-07-18,China,Beijing,Edtech,NULL,NULL,Sequoia Capital China, Xiang He Capital, GGV Capital,NULL
FlixMobility,$3.00,2019-07-18,Germany,Munich,Auto, transportation,NULL,Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,NULL
Wildlife Studios,$3.00,2019-05-12,Brazil,Sao Paulo,Other,NULL,NULL,Benchmark, Bessemer Venture Partners,NULL,NULL
ApplyBoard,$3.20,2020-05-05,Canada,Kitchener,Edtech,NULL,NULL,Artiman Ventures, Plug and Play Ventures, Anthos Capital,NULL
Forter,$3.00,2020-11-19,US,New York,Cybersecurity,NULL,NULL,Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,NULL
Calendly,$3.00,2021-01-26,US,Atlanta,Internet software, services,NULL,ICONIQ Capital, OpenView Venture Partners,NULL,NULL
BlockFi,$3.00,2021-11-03,US,Jersey City,Fintech,NULL,NULL,ConsenSys Ventures, Valar Ventures, PUC,NULL
ActiveCampaign,$3.00,2021-04-21,US,Chicago,Internet software, services,NULL,Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,NULL
CMR Surgical,$3.00,2019-09-17,UK,Cambridge,Health,NULL,NULL,Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,NULL
Lucid Software,$3.00,2021-06-29,US,South Jordan,Internet software, services,NULL,Spectrum Equity, ICONIQ Capital, Grayhawk Capital,NULL
Age of Learning,$3.00,2016-03-05,US,Glendale,Edtech,NULL,NULL,Iconiq Capital,NULL,NULL,NULL
Carbon Health,$3.00,2021-07-21,US,San Francisco,Health,NULL,NULL,Brookfield Asset Management, Blackstone, Data Collective,NULL
Contentful,$3.00,2021-07-28,Germany,Berlin,Internet software, services,NULL,Balderton Capital, General Catalyst, Tiger Global Management,NULL
LaunchDarkly,$3.00,2021-10-08,US,Oakland,Internet software, services,NULL,Uncork Capital, Threshold Ventures, Bloomberg Beta,NULL
Seismic,$3.00,2018-12-18,US,San Diego,Internet software, services,NULL,Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,NULL
Grafana Labs,$3.00,2021-03-25,US,New York,Internet software, services,NULL,Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,NULL
Gorillas,$3.10,2021-03-25,Germany,Berlin,Supply chain, logistics, delivery,Coatue Management, Atlantic Food Labs, DST Global,NULL
Sky Mavis,$3.00,2021-04-10,Vietnam,Ho Chi Minh City,Internet software, services,NULL,Fabric Ventures, 500 Global, Standard Crypto,NULL
Outschool,$3.00,2021-04-14,US,San Francisco,Edtech,NULL,NULL,Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,NULL
TradingView,$3.00,2021-10-14,US,Westerville,Fintech,NULL,NULL,Tiger Global Management, Insight Partners, Jump Capital,NULL
Groww,$3.00,2021-07-04,India,Bengaluru,Fintech,NULL,NULL,Tiger Global Management, Sequoia Capital India, Ribbit Capital,NULL
Podium,$3.00,2020-07-04,US,Lehi,Internet software, services,NULL,Accel, Summit Partners, Google Ventures,NULL
Via,$3.30,2020-03-30,US,New York,Auto, transportation,NULL,83North, RiverPark Ventures, Pitango Venture Capital,NULL
Anchorage Digital,$3.00,2021-12-15,US,San Francisco,Fintech,NULL,NULL,Andreessen Horowitz, Blockchain Capital, Lux Capital,NULL
Inxeption,$3.00,2022-01-13,US,San Francisco,Fintech,NULL,NULL,Coatue Management, BMO Capital, Schonfeld Strategic Advisors,NULL
Lattice,$3.00,2021-03-23,US,San Francisco,Internet software, services,NULL,Khosla Ventures, Thrive Capital, Y Combinator,NULL
Flutterwave,$3.00,2021-09-03,US,San Francisco,Fintech,NULL,NULL,Green Visor Capital, CRE Venture Capital, Greycroft,NULL
Amber Group,$3.00,2021-06-21,Hong Kong,Fintech,Tiger Global Management, Tiger Brokers, DCM Ventures,NULL,NULL,NULL,NULL
Cross River Bank,$3.00,2022-11-02,US,Fort Lee,Fintech,NULL,NULL,Battery Ventures, Andreessen Horowitz, Ribbit Capital,NULL
Remote,$3.00,2021-07-13,US,San Francisco,Fintech,NULL,NULL,Index Ventures, Sequoia Capital, General Catalyst,NULL
Sentry,$3.00,2021-02-18,US,San Francisco,Other,NULL,NULL,New Enterprise Associates, Accel, Bond,NULL
Kraken,$2.92,2019-06-25,US,San Francisco,Fintech,NULL,NULL,Bnk To The Future, Trammell Ventures, SBI Investment,NULL
OpenAI,$2.92,2019-07-22,US,San Francisco,Artificial intelligence,NULL,NULL,Khosla Ventures,NULL,NULL,NULL
Workrise,$2.90,2019-09-30,US,Austin,Internet software, services,NULL,Founders Fund, Quantum Energy Partners, Bedrock Capital,NULL
Loft,$2.90,2020-03-01,Brazil,Sao Paulo,E-commerce, direct-to-consumer,NULL,Monashees+, Andreessen Horowitz, QED Investors,NULL
BharatPe,$2.85,2021-07-30,India,New Delhi,Fintech,NULL,NULL,Insight Partners, Sequoia Capital India, BEENEXT,NULL
DriveWealth,$2.85,2021-08-20,US,Chatham,Fintech,NULL,NULL,Point72 Ventures, Route 66 Ventures, Accel,NULL
Flink,$2.85,2021-01-12,Germany,Berlin,E-commerce, direct-to-consumer,NULL,Mubadala Capital, Bond, Prosus Ventures,NULL
Alan,$2.85,2021-04-19,France,Paris,Fintech,NULL,NULL,Index Ventures, Temasek, Portag3 Ventures,NULL
Meicai,$2.80,2016-06-22,China,Beijing,Mobile, telecommunications,NULL,Tiger Global Management, Blue Lake Capital, ZhenFund,NULL
Zipline,$2.80,2019-05-20,US,South San Francisco,Supply chain, logistics, delivery,Sequoia Capital, Baillie Gifford & Co., Google Ventures,NULL
Graphcore,$2.77,2018-12-18,UK,Bristol,Artificial intelligence,NULL,NULL,Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners,NULL
Illumio,$2.75,2015-04-14,US,Sunnyvale,Cybersecurity,NULL,NULL,Data Collective, Formation 8, General Catalyst Partners,NULL
MasterClass,$2.75,2021-05-13,US,San Francisco,Edtech,NULL,NULL,Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,NULL
Dream Games,$2.75,2021-06-30,Turkey,Istanbul,Mobile, telecommunications,NULL,Makers Fund, Index Ventures, Inova Ventures Participacees,NULL
Transmit Security,$2.74,2021-06-22,Israel,Tel Aviv,Cybersecurity,NULL,NULL,General Atlantic, Insight Partners, Vintage Investment Partners,NULL
Hozon Auto,$3.95,2022-02-22,China,Shanghai,Auto, transportation,NULL,HD Capital, Qihoo 360 Technology, China Fortune Land Development,NULL
Tradeshift,$2.70,2018-05-30,US,San Francisco,Fintech,NULL,NULL,Notion Capital, Scentan Ventures, Kite Ventures,NULL
Nextiva,$2.70,2021-09-14,US,Scottsdale,Internet software, services,NULL,Goldman Sachs Asset Management,NULL,NULL,NULL
Tridge,$2.70,2022-08-24,South Korea,Seoul,Internet software, services,NULL,Forest Partners, Softbank Ventures Asia,NULL,NULL
o9 Solutions,$2.70,2020-04-28,US,Dallas,Artificial intelligence,NULL,NULL,KKR,NULL,NULL,NULL
Thought Machine,$2.70,2021-11-29,UK,London,Fintech,NULL,NULL,British Patient Capital, SEB Venture Capital, IQ Capital,NULL
BackBase,$2.66,2022-09-06,Netherlands,Amsterdam,Fintech,NULL,NULL,Motive Partners,NULL,NULL,NULL
ManoMano,$2.60,2021-05-07,France,Paris,E-commerce, direct-to-consumer,NULL,General Atlantic, Piton Capital, Partech Partners,NULL
Sourcegraph,$2.62,2021-07-13,US,San Francisco,Internet software, services,NULL,Redpoint Ventures, Goldcrest Capital, Insight Partners,NULL
Pendo,$2.60,2019-10-17,US,Raleigh,Internet software, services,NULL,Contour Venture Partners, Battery Ventures, Core Capital Partners,NULL
Plume,$2.60,2021-02-23,US,Palo Alto,Internet software, services,NULL,Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,NULL
Moglix,$2.60,2021-05-17,Singapore,E-commerce & direct-to-consumer,Jungle Ventures, Accel, Venture Highway,NULL,NULL,NULL,NULL
Axonius,$2.60,2021-01-03,US,New York,Cybersecurity,NULL,NULL,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,NULL
Xinchao Media,$2.00,2018-09-04,China,Chengdu,Internet software, services,NULL,JD.com, Baidu, Vision Plus Capital,NULL
JumpCloud,$2.62,2021-09-13,US,Louisville,Data management, analytics,NULL,Foundry Group, General Atlantic, BlackRock,NULL
Unico,$2.60,2021-03-08,Brazil,Sao Paulo,Artificial intelligence,NULL,NULL,Big Bets, General Atlantic, SOFTBANK Latin America Ventures,NULL
Oura,$2.55,2022-05-04,Finland,Oulu,Health,NULL,NULL,Forerunner Ventures, Lifeline Ventures, MSD Capital,NULL
Eat Just,$2.59,2017-11-30,US,San Francisco,Consumer, retail,NULL,Khosla Ventures, Horizons Ventures, Founders Fund,NULL
Cribl,$2.50,2021-08-25,US,San Francisco,Data management, analytics,NULL,Institutional Venture Partners, CRV, Sequoia Capital,NULL
Vista Global,$2.50,2017-08-23,UAE,Dubai,Other,NULL,NULL,Rhone Capital,NULL,NULL,NULL
BYTON,$2.50,2018-04-20,China,Nanjing,Auto, transportation,NULL,FAW Group, Tencent Holdings, Tus Holdings,NULL
Side,$2.50,2021-03-22,US,San Francisco,Internet software, services,NULL,Coatue Managemeny, Trinity Ventures, Matrix Partners,NULL
Infra.Market,$2.50,2021-02-25,India,Thane,E-commerce, direct-to-consumer,NULL,Accel, Tiger Global Management, Nexus Venture Partners,NULL
Varo Bank,$2.50,2021-09-09,US,San Francisco,Fintech,NULL,NULL,Warburg Pincus, The Rise Fund, HarbourVest Partners,NULL
Cato Networks,$2.50,2020-11-17,Israel,Tel Aviv,Cybersecurity,NULL,NULL,Aspect Ventures, SingTel Innov8, Greylock Partners,NULL
Aura,$2.50,2021-09-06,US,Burlington,Cybersecurity,NULL,NULL,Warburg Pincus, General Catalyst,NULL,NULL
Vercel,$2.50,2021-06-23,US,San Francisco,Internet software, services,NULL,CRV, Accel, Google Ventures,NULL
Sysdig,$2.50,2021-04-28,US,San Francisco,Cybersecurity,NULL,NULL,Accel, Bain Capital Ventures, Insight Partners,NULL
Zetwerk,$2.68,2021-08-20,India,Bengaluru,Internet software, services,NULL,Sequoia Capital India, Kae Capital, Accel,NULL
Uniphore,$2.50,2022-02-16,US,Palo Alto,Artificial Intelligence,NULL,NULL,Chiratae Ventures, March Capital Partners, National Grid Partners,NULL
Somatus,$2.50,2022-02-23,US,McLean,Health,NULL,NULL,The Blue Venture Fund, Flare Capital Partners, Longitude Capital,NULL
Immutable,$2.50,2022-07-03,Australia,Sydney,Fintech,NULL,NULL,Fabric Ventures, AirTree Ventures, Temasek,NULL
A24 Films,$2.50,2022-09-03,US,New York,Other,NULL,NULL,Stripes Group, Neuberger Berman,NULL,NULL
SiFive,$2.50,2022-03-16,US,San Mateo,Hardware,NULL,NULL,Sutter Hill Ventures, Osage University Partners, Spark Capital,NULL
Games24x7,$2.50,2022-03-30,India,Mumbai,Internet software, services,NULL,Tiger Global Management, The Raine Group, Malabar Investments,NULL
Fetch Rewards,$2.50,2021-03-31,US,Madison,E-commerce, direct-to-consumer,NULL,Greycroft, Loeb.NYC, DST Global,NULL
Coda Payments,$2.50,2022-04-15,Singapore,Fintech,GIC. Apis Partners, Insight Partners,NULL,NULL,NULL,NULL,NULL
DriveNets,$2.50,2021-01-27,Israel,Ra'anana,Internet software, services,NULL,Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners,NULL
Hibob,$2.45,2021-12-10,Israel,Tel Aviv,Internet software, services,NULL,Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures,NULL
Uala,$2.45,2021-08-13,Argentina,Buenos Aires,Fintech,NULL,NULL,Soros Fund Management, Ribbit Capital, Monashees+,NULL
Mobile Premier League,$2.45,2021-09-15,India,Bengaluru,Internet software, services,NULL,Sequoia Capital India, RTP Global, Go-Ventures,NULL
Cybereason,$2.44,2019-06-08,US,Boston,Cybersecurity,NULL,NULL,SoftBank Group, CRV, Spark Capital,NULL
Cgtz,$2.41,2017-02-21,China,Hangzhou,Fintech,NULL,NULL,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,NULL
Star Charge,$2.41,2021-05-19,China,Changzhou,Auto, transportation,NULL,Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,NULL
EquipmentShare,$2.41,2020-01-05,US,Columbia,Fintech,NULL,NULL,Romulus Capital, Insight Partners, RedBird Capital Partners,NULL
Carbon,$2.40,2015-08-20,US,Redwood City,Hardware,NULL,NULL,Google Ventures, Sequoia Capital, Wakefield Group,NULL
PolicyBazaar,$2.40,2019-06-05,India,Gurgaon,Fintech,NULL,NULL,Info Edge, Softbank Capital,NULL,NULL
Paxos,$2.40,2021-04-29,US,New York,Fintech,NULL,NULL,Liberty City Ventures, RRE Ventures, Mithril Capital Management,NULL
Exabeam,$2.40,2021-01-06,US,Foster City,Cybersecurity,NULL,NULL,Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners,NULL
BitSight Technologies,$2.40,2021-09-13,US,Boston,Cybersecurity,NULL,NULL,Menlo Ventures, GGV Capital, Flybridge Capital Partners,NULL
Trumid,$2.40,2020-07-15,US,New York,Fintech,NULL,NULL,T. Rowe Price, Dragoneer Investment Group, BlackRock,NULL
ABL Space Systems,$2.40,2021-03-25,US,El Segundo,Other,NULL,NULL,T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment,NULL
HoneyBook,$2.40,2021-04-05,US,San Francisco,Internet software, services,NULL,Norwest Venture Partners, Hillsven Capital, Aleph,NULL
Beta Technologies,$2.40,2022-04-19,US,South Burlington,Other,NULL,NULL,The Rise Fund, Fidelity Investments. RedBird Capital Partners,NULL,NULL
Project44,$2.62,2021-01-06,US,Chicago,Supply chain, logistics, delivery,Emergence Capital Partners, 8VC, Chicago Ventures,NULL
Freenome,$2.62,2020-08-26,US,South San Francisco,Health,NULL,NULL,Andreessen Horowitz, Data Collective, Roche Venture Fund,NULL
ManyPets,$2.35,2021-01-06,UK,London,Fintech,NULL,NULL,Octopus Ventures, Munich Re Ventures, CommerzVentures,NULL
Jobandtalent,$2.35,2021-01-12,Spain,Madrid,Internet software, services,NULL,Kibo Ventures, SoftBank Group, Atomico,NULL
WEMAKEPRICE,$2.34,2015-09-09,South Korea,Seoul,E-commerce, direct-to-consumer,NULL,IMM Investment, NXC,NULL,NULL
Biren Technology,$2.32,2020-08-18,China,Shanghai,Hardware,NULL,NULL,V FUND, IDG Capital, Green Pine Capital Partners,NULL
Voodoo,$2.31,2020-08-17,France,Paris,Other,NULL,NULL,Tencent Holdings, Goldman Sachs,NULL,NULL
Uptake,$2.30,2015-10-27,US,Chicago,Artificial intelligence,NULL,NULL,Revolution, New Enterprise Associates, Caterpillar,NULL
Motive,$2.85,2019-04-23,US,San Francisco,Supply chain, logistics, delivery,Google Ventures, Index Ventures, Scale Venture Partners,NULL
Skydance Media,$2.30,2020-11-02,US,Santa Monica,Other,NULL,NULL,RedBird Capital Partners, CJ ENM, Tencent Holdings,NULL
Greenlight,$2.30,2020-09-24,US,Atlanta,Fintech,NULL,NULL,Relay Ventures, TTV Capital, Canapi Ventures,NULL
Bowery Farming,$2.30,2021-05-25,US,New York,Other,NULL,NULL,Temasek, Google Ventures, General Catalyst,NULL
Odoo,$2.30,2021-07-29,Belgium,Louvain-la-Neuve,Internet software, services,NULL,Summit Partners, Noshaq, Sofinnova Partners,NULL
MoMo,$2.27,2021-10-12,Vietnam,Ho Chi Minh City,Fintech,NULL,NULL,Goodwater Capital, Warburg Pincus, GS Growth,NULL
